item,url,artist,discount_price,price,is_sold_out,ds,vendor,is_autograph,avg_review_value,number_of_questions,number_of_reviews,presale
6th Album GENTLEMEN’S GAME,https://en.thejypshop.com/product/6th-album-gentlemens-game/121/category/52/display/1/,2PM,14.82,18.3,True,2022-11-14,jypshop,,,,,
7th Album MUST (LP Ver.),https://en.thejypshop.com/product/7th-album-must-lp-ver/242/category/52/display/1/,2PM,63.91,78.9,True,2022-11-14,jypshop,,,,,
4th Album GO CRAZY! [Grand Edition],https://en.thejypshop.com/product/4th-album-go-crazy-grand-edition/130/category/52/display/1/,2PM,32.72,40.4,True,2022-11-14,jypshop,,,,,
6th Album GENTLEMEN’S GAME(LP Ver.),https://en.thejypshop.com/product/6th-album-gentlemens-gamelp-ver/119/category/52/display/1/,2PM,35.64,44.0,True,2022-11-14,jypshop,,,,,
Stray Kids Mini Album MAXIDENT (CASE ver.),https://en.thejypshop.com/product/stray-kids-mini-album-maxident-case-ver/842/category/59/display/1/,Stray Kids,11.91,14.7,False,2022-11-14,jypshop,,,,,
"Stray Kids Mini Album MAXIDENT (T-CRUSH ver., HEART ver.)",https://en.thejypshop.com/product/stray-kids-mini-album-maxident-t-crush-ver-heart-ver/737/category/59/display/1/,Stray Kids,16.36,20.2,False,2022-11-14,jypshop,,,,,
Mixtape,https://en.thejypshop.com/product/mixtape/111/category/59/display/1/,Stray Kids,12.64,15.6,False,2022-11-14,jypshop,,,,,
I am NOT,https://en.thejypshop.com/product/i-am-not/109/category/59/display/1/,Stray Kids,12.64,15.6,False,2022-11-14,jypshop,,,,,
I am WHO,https://en.thejypshop.com/product/i-am-who/106/category/59/display/1/,Stray Kids,13.36,16.5,False,2022-11-14,jypshop,,,,,
I am YOU,https://en.thejypshop.com/product/i-am-you/105/category/59/display/1/,Stray Kids,13.36,16.5,False,2022-11-14,jypshop,,,,,
Cle 1 : MIROH,https://en.thejypshop.com/product/cle-1-miroh/100/category/59/display/1/,Stray Kids,13.36,16.5,False,2022-11-14,jypshop,,,,,
Cle 2 : Yellow Wood,https://en.thejypshop.com/product/cle-2-yellow-wood/98/category/59/display/1/,Stray Kids,13.36,16.5,False,2022-11-14,jypshop,,,,,
Stray Kids - Cle : LEVANTER,https://en.thejypshop.com/product/stray-kids-cle-levanter/94/category/59/display/1/,Stray Kids,13.36,16.5,False,2022-11-14,jypshop,,,,,
1st Album GO生,https://en.thejypshop.com/product/1st-album-go生/92/category/59/display/1/,Stray Kids,17.82,22.0,False,2022-11-14,jypshop,,,,,
