item,url,price,is_autograph,vendor,is_sold_out,ds
NCT DREAM Glitch Mode Pop Up Acrylic Stand Keyring B Ice,https://smglobalshop.com/products/pre-order-nct-dream-glitch-mode-pop-up-acrylic-stand-keyring-b-ice,25,False,smglobalshop,False,2022-11-14
NCT DREAM Glitch Mode Pop Up Acrylic Stand Keyring A Game Store,https://smglobalshop.com/products/pre-order-nct-dream-glitch-mode-pop-up-acrylic-stand-keyring-a-game-store,25,False,smglobalshop,False,2022-11-14
NCT DREAM Glitch Mode Pop Up Card Holder+ID Card Set,https://smglobalshop.com/products/pre-order-nct-dream-glitch-mode-pop-up-card-holder-id-card-set,20,False,smglobalshop,False,2022-11-14
Pre-Order - aespa The 2nd Mini Album 'Girls' (International Ver.),https://smglobalshop.com/products/pre-order-aespa-the-2nd-mini-album-girls-international-ver,12.98,False,smglobalshop,True,2022-11-14
Pre-Order - aespa The 2nd Mini Album 'Girls' (Digipack Ver.),https://smglobalshop.com/products/pre-order-aespa-the-2nd-mini-album-girls-digipack-ver,12.98,False,smglobalshop,True,2022-11-14
Pre-Order - aespa The 2nd Mini Album 'Girls' (Real World Ver.),https://smglobalshop.com/products/pre-order-aespa-the-2nd-mini-album-girls-real-world-ver,19.98,False,smglobalshop,True,2022-11-14
Pre-Order - aespa The 2nd Mini Album 'Girls' (KWANGYA Ver.),https://smglobalshop.com/products/pre-order-aespa-the-2nd-mini-album-girls-kwangya-ver,19.98,False,smglobalshop,True,2022-11-14
NCT 127 BAKER HOUSE POP-UP Card,https://smglobalshop.com/products/pre-order-nct-127-baker-house-pop-up-card,25,False,smglobalshop,False,2022-11-14
Pre-Order - NCT 127 BAKER HOUSE Room Kit,https://smglobalshop.com/products/pre-order-nct-127-baker-house-room-kit,40,False,smglobalshop,False,2022-11-14
NCT 127 BAKER HOUSE Frame Photo Card,https://smglobalshop.com/products/pre-order-nct-127-baker-house-frame-photo-card,18,False,smglobalshop,False,2022-11-14
NCT DREAM The 2nd Album Repackage ’Beatbox’ (Digipack Ver.),https://smglobalshop.com/products/pre-order-nct-dream-the-2nd-album-repackage-beatbox-digipack-ver,21,False,smglobalshop,False,2022-11-14
Pre-Order - Red Velvet 'Feel My Rhythm’ Necklace + Exclusive Photo Card,https://smglobalshop.com/products/pre-order-red-velvet-feel-my-rhythm-necklace-exclusive-photo-card,35,False,smglobalshop,False,2022-11-14
Pre-Order - Red Velvet 'Feel My Rhythm’ Bucket Bag with Pouch + Exclusive Photo Card,https://smglobalshop.com/products/pre-order-red-velvet-feel-my-rhythm-bucket-bag-with-pouch-exclusive-photo-card,50,False,smglobalshop,False,2022-11-14
NCT DREAM 2nd Album Repackage 'Beatbox' (Photo Book Ver.) + US Exclusive Photocard,https://smglobalshop.com/products/pre-order-nct-dream-2nd-album-repackage-beatbox-photo-book-ver,28,False,smglobalshop,False,2022-11-14
NCT DREAM 2nd Album 'Glitch Mode' (Photo Book Ver.) + 2 US Exclusive Photo Card,https://smglobalshop.com/products/pre-order-nct-dream-2nd-album-glitch-mode-photo-book-ver-2-us-exclusive-photo-card,27.5,False,smglobalshop,False,2022-11-14
NCT DREAM 2nd Album 'Glitch Mode' (Digipack Ver.) + 2 US Exclusive Photo Card,https://smglobalshop.com/products/pre-order-nct-dream-2nd-album-glitch-mode-digipack-ver-2-us-exclusive-photo-card,22.5,False,smglobalshop,True,2022-11-14
NCT DREAM 'Glitch Mode' Tote Bag Deluxe Box with 2nd Bonus Photo Card,https://smglobalshop.com/products/pre-order-nct-dream-glitch-mode-tote-bag-deluxe-box-with-2nd-bonus-photo-card,34.5,False,smglobalshop,False,2022-11-14
