item,url,discount_price,price,is_autograph,avg_review_value,number_of_questions,number_of_reviews,vendor,is_sold_out,ds
EPEX - [Prelude of Love Chapter 1. Puppy Love] 4th EP Album PUPPY Version,https://www.kpopalbums.com/collections/lastest-release/products/epex-prelude-of-love-chapter-1-puppy-love-4th-ep-album-puppy-version,14.59,17.16,False,0.00,0,0,kpopalbums,False,2022-11-14
EPEX - [Prelude of Love Chapter 1. Puppy Love] 4th EP Album RANDOM Version,https://www.kpopalbums.com/collections/lastest-release/products/epex-prelude-of-love-chapter-1-puppy-love-4th-ep-album-random-version,13.86,16.31,False,0.00,0,0,kpopalbums,False,2022-11-14
JIN (BTS) - [The Astronaut] Version 01,https://www.kpopalbums.com/collections/lastest-release/products/jin-bts-the-astronaut-version-01-extra-pob,15.27,17.96,False,0.00,0,0,kpopalbums,False,2022-11-14
JIN (BTS) - [The Astronaut] Version 02,https://www.kpopalbums.com/collections/lastest-release/products/jin-bts-the-astronaut-version-02-extra-pob,15.27,17.96,False,0.00,0,0,kpopalbums,False,2022-11-14
JIN (BTS) - [The Astronaut] Version 2 Version SET,https://www.kpopalbums.com/collections/lastest-release/products/jin-bts-the-astronaut-version-2-version-set-extra-pob,29.77,35.02,False,0.00,0,0,kpopalbums,False,2022-11-14
JIN (BTS) - [The Astronaut] Version RANDOM Version,https://www.kpopalbums.com/collections/lastest-release/products/jin-bts-the-astronaut-version-random-version-extra-pob,14.50,17.06,False,0.00,0,0,kpopalbums,False,2022-11-14
NOEL - [Twenty] 20th Anniversary Album,https://www.kpopalbums.com/collections/lastest-release/products/noel-twenty-20th-anniversary-album,17.18,20.21,False,0.00,0,0,kpopalbums,False,2022-11-14
ROY KIM - [AND] 4th Album,https://www.kpopalbums.com/collections/lastest-release/products/roy-kim-and-4th-album,14.59,17.16,False,0.00,0,0,kpopalbums,False,2022-11-14
SON HYEEUN - [PIECES OF MEMORY] 2nd EP Album,https://www.kpopalbums.com/collections/lastest-release/products/son-hyeeun-pieces-of-memory-2nd-ep-album,13.24,15.58,False,0.00,0,0,kpopalbums,False,2022-11-14
ATBO - [The Beginning : 始作] 2nd Mini Album 2 Version SET,https://www.kpopalbums.com/collections/lastest-release/products/atbo-the-beginning-2nd-mini-album-2-version-set,28.45,33.47,False,0.00,0,0,kpopalbums,False,2022-11-14
ATBO - [The Beginning : 始作] 2nd Mini Album PROGRESS Version,https://www.kpopalbums.com/collections/lastest-release/products/atbo-the-beginning-2nd-mini-album-progress-version,14.59,17.16,False,0.00,0,0,kpopalbums,False,2022-11-14
ATBO - [The Beginning : 始作] 2nd Mini Album RANDOM Version,https://www.kpopalbums.com/collections/lastest-release/products/atbo-the-beginning-2nd-mini-album-random-version,13.86,16.31,False,0.00,0,0,kpopalbums,False,2022-11-14
ATBO - [The Beginning : 始作] 2nd Mini Album ROWING Version,https://www.kpopalbums.com/collections/lastest-release/products/atbo-the-beginning-2nd-mini-album-rowing-version,14.59,17.16,False,0.00,0,0,kpopalbums,False,2022-11-14
CLASS:y - [Day & Night] 2nd Mini Album,https://www.kpopalbums.com/collections/lastest-release/products/class-y-day-night-2nd-mini-album,11.89,13.99,False,0.00,0,0,kpopalbums,False,2022-11-14
