,item,url,artist,discount_price,price,sold_out,ds
86,DAY6 3rd Album The Book of Us : Entropy,/product/day6-3rd-album-the-book-of-us-entropy/677/category/36/display/1/,DAY6,14.09,17.4,False,2022-10-24
87,DAY6 5th Mini Album The Book of Us : Gravity,/product/day6-5th-mini-album-the-book-of-us-gravity/676/category/36/display/1/,DAY6,13.36,16.5,False,2022-10-24
88,DAY6 2nd Album MOONRISE,/product/day6-2nd-album-moonrise/675/category/36/display/1/,DAY6,14.82,18.3,False,2022-10-24
89,DAY6 1st Album SUNRISE,/product/day6-1st-album-sunrise/674/category/36/display/1/,DAY6,14.82,18.3,False,2022-10-24
90,DAY6 4th Mini Album Remember Us : Youth Part 2,/product/day6-4th-mini-album-remember-us-youth-part-2/673/category/36/display/1/,DAY6,13.36,16.5,False,2022-10-24
91,DAY6 3rd Mini Album Shoot Me : Youth Part 1,/product/day6-3rd-mini-album-shoot-me-youth-part-1/672/category/36/display/1/,DAY6,13.36,16.5,False,2022-10-24
92,DAY6 2nd Mini Album DAYDREAM,/product/day6-2nd-mini-album-daydream/671/category/36/display/1/,DAY6,12.64,15.6,False,2022-10-24
93,DAY6 1st Mini Album The DAY,/product/day6-1st-mini-album-the-day/670/category/36/display/1/,DAY6,11.91,14.7,False,2022-10-24
94,DAY6 (Even of Day) DENIMALZ MINI TOWEL - 해변의 달링,/product/day6-even-of-day-denimalz-mini-towel-해변의-달링/736/category/167/display/1/,DAY6 (Even of Day),0.0,13.0,False,2022-10-24
95,DAY6 (Even of Day) DENIMALZ ACRYLIC CLIP - 해변의 달링,/product/day6-even-of-day-denimalz-acrylic-clip-해변의-달링/735/category/167/display/1/,DAY6 (Even of Day),0.0,12.0,False,2022-10-24
96,DAY6 (Even of Day) PHOTOCARD DECO SET - 해변의 달링,/product/day6-even-of-day-photocard-deco-set-해변의-달링/734/category/167/display/1/,DAY6 (Even of Day),0.0,19.0,False,2022-10-24
97,DAY6 (Even of Day) 4 CUTS PHOTO SET - 해변의 달링,/product/day6-even-of-day-4-cuts-photo-set-해변의-달링/733/category/167/display/1/,DAY6 (Even of Day),0.0,12.0,False,2022-10-24
98,DAY6 (Even of Day) STICKER BOOK - 해변의 달링,/product/day6-even-of-day-sticker-book-해변의-달링/732/category/167/display/1/,DAY6 (Even of Day),0.0,16.0,False,2022-10-24
99,Xdinary Heroes 2nd Mini Album Overload,/product/xdinary-heroes-2nd-mini-album-overload/939/category/93/display/1/,Xdinary Heroes,16.36,20.2,False,2022-10-24
100,"Xdinary Heroes 1st Mini Album HELLO, WORLD!",/product/xdinary-heroes-1st-mini-album-hello-world/486/category/93/display/1/,Xdinary Heroes,16.36,20.2,False,2022-10-24
101,"Xdinary Heroes STICKER SET - Hello, World!",/product/xdinary-heroes-sticker-set-hello-world/598/category/260/display/1/,Xdinary Heroes,0.0,13.0,False,2022-10-24
102,"Xdinary Heroes PHOTOCARD HOLDER & PHOTOCARD SET  - Hello, World!",/product/xdinary-heroes-photocard-holder-photocard-set-hello-world/597/category/260/display/1/,Xdinary Heroes,0.0,23.0,False,2022-10-24
103,"Xdinary Heroes PHONE TAB & STRAP SET - Hello, World!",/product/xdinary-heroes-phone-tab-strap-set-hello-world/596/category/260/display/1/,Xdinary Heroes,0.0,19.0,False,2022-10-24
104,"Xdinary Heroes ID PHOTO SET  - Hello, World!",/product/xdinary-heroes-id-photo-set-hello-world/595/category/260/display/1/,Xdinary Heroes,0.0,7.0,False,2022-10-24
105,"Xdinary Heroes SIGNATURE BADGE SET - Hello, World!",/product/xdinary-heroes-signature-badge-set-hello-world/594/category/260/display/1/,Xdinary Heroes,0.0,19.0,False,2022-10-24
106,"Xdinary Heroes T-Shirt - Hello, World!",/product/xdinary-heroes-t-shirt-hello-world/593/category/260/display/1/,Xdinary Heroes,0.0,36.0,False,2022-10-24
107,"Xdinary Heroes BEHIND PHOTOBOOK SET - Hello, World!",/product/xdinary-heroes-behind-photobook-set-hello-world/592/category/260/display/1/,Xdinary Heroes,0.0,26.0,False,2022-10-24
108,Xdinary Heroes GREEN PROJECT,/product/xdinary-heroes-green-project/254/category/260/display/1/,Xdinary Heroes,0.0,25.0,False,2022-10-24
109,3rd album Grown [A ver],/product/3rd-album-grown-a-ver/241/category/52/display/1/,2PM,14.98,18.5,False,2022-10-24
110,3rd album Grown [B ver],/product/3rd-album-grown-b-ver/240/category/52/display/1/,2PM,14.98,18.5,False,2022-10-24
111,2PM - 5th Album NO.5 (Redesigned),/product/2pm-5th-album-no5-redesigned/128/category/52/display/1/,2PM,16.36,20.2,False,2022-10-24
112,7th Album MUST,/product/7th-album-must/72/category/52/display/1/,2PM,17.82,22.0,False,2022-10-24
113,3rd album Grown [Grand Edition],/product/3rd-album-grown-grand-edition/239/category/52/display/1/,2PM,34.02,42.0,False,2022-10-24
114,4th Album GO CRAZY!,/product/4th-album-go-crazy/131/category/52/display/1/,2PM,16.36,20.2,False,2022-10-24
115,6th Album GENTLEMEN’S GAME,/product/6th-album-gentlemens-game/121/category/52/display/1/,2PM,14.82,18.3,False,2022-10-24
116,7th Album MUST (LP Ver.),/product/7th-album-must-lp-ver/242/category/52/display/1/,2PM,63.91,78.9,False,2022-10-24
117,4th Album GO CRAZY! [Grand Edition],/product/4th-album-go-crazy-grand-edition/130/category/52/display/1/,2PM,32.72,40.4,False,2022-10-24
118,6th Album GENTLEMEN’S GAME(LP Ver.),/product/6th-album-gentlemens-gamelp-ver/119/category/52/display/1/,2PM,35.64,44.0,False,2022-10-24
119,Stray Kids GREEN PROJECT,/product/stray-kids-green-project/252/category/254/display/1/,Stray Kids,0.0,25.0,False,2022-10-24
120,Love & Hate,/product/love-hate/133/category/421/display/1/,JUN. K,11.91,14.7,False,2022-10-24
121,Special Album 77-1X3-00,/product/special-album-77-1x3-00/118/category/421/display/1/,JUN. K,14.82,18.3,False,2022-10-24
122,2nd Mini Album My 20's,/product/2nd-mini-album-my-20s/113/category/421/display/1/,JUN. K,16.36,20.2,False,2022-10-24
123,1st Mini Album Mr. NO♡,/product/1st-mini-album-mr-no/124/category/421/display/1/,JUN. K,13.36,16.5,False,2022-10-24
124,3rd Mini Album 20mins,/product/3rd-mini-album-20mins/87/category/421/display/1/,JUN. K,16.36,20.2,False,2022-10-24
