item,url,discount_price,price,is_autograph,avg_review_value,number_of_questions,number_of_reviews,vendor,is_sold_out,ds
NCT127 - [Cherry Bomb] 3rd Mini Album,https://www.kpopalbums.com/collections/restocked/products/nct127-cherry-bomb-3rd-mini-album-cd-photobook-photocard-k-pop-sealed-nct-127-nct-127-nct-127-cherry-bomb-3rd-mini,11.09,14.79,False,4.88,0,72,kpopalbums,False,2022-11-14
Oh My Girl Yooa - [Bon Voyage] 1st Solo Mini Album,https://www.kpopalbums.com/collections/restocked/products/oh-my-girl-yooa-bon-voyage-1st-solo-mini-album-cd-200p-photobook-2p-photocard-1p-postcard-message-photocard-set-tracking-kpop-sealed-oh-my-girl-yooa-bon-voyage-c,9.35,15.58,False,5.00,0,1,kpopalbums,False,2022-11-14
Red Velvet - ['The Reve Festival] Day 1] 6th Mini Album KIHNO KIT,https://www.kpopalbums.com/collections/restocked/products/red-velvet-the-reve-festival-day-1-6th-mini-album-kihno-kit-32p-booklet-1p-photocard-tracking-k-pop-sealed-red-velvet-trfd-kihno,14.90,18.63,False,5.00,0,1,kpopalbums,False,2022-11-14
RED VELVET - [ICE CREAM CAKE] 1st Mini Album 2 Version SET,https://www.kpopalbums.com/collections/restocked/products/red-velvet-ice-cream-cake-1st-mini-album-2-version-set,20.43,25.54,False,0.00,0,0,kpopalbums,False,2022-11-14
RED VELVET - [ICE CREAM CAKE] 1st Mini Album AUTOMATIC Version,https://www.kpopalbums.com/collections/restocked/products/red-velvet-ice-cream-cake-1st-mini-album-automatic-version,11.13,13.10,False,0.00,0,0,kpopalbums,False,2022-11-14
RED VELVET - [ICE CREAM CAKE] 1st Mini Album ICE CREAM CAKE Version,https://www.kpopalbums.com/collections/restocked/products/red-velvet-ice-cream-cake-1st-mini-album-ice-cream-cake-version,10.48,13.10,False,0.00,0,0,kpopalbums,False,2022-11-14
RED VELVET - [ICE CREAM CAKE] 1st Mini Album RANDOM Version,https://www.kpopalbums.com/collections/restocked/products/red-velvet-ice-cream-cake-1st-mini-album-cd-tracking-kpop-sealed-redvelvet-001,9.95,12.44,False,0.00,0,0,kpopalbums,False,2022-11-14
Red Velvet - [Perfect Velvet] 2nd Album,https://www.kpopalbums.com/collections/restocked/products/red-velvet-perfect-velvet-2nd-album-cd-48p-photobook-photocard-peek-a-boo-k-pop-sealed-red-velvet-perfect-velvet-2nd-album,12.28,16.37,False,,,,kpopalbums,False,2022-11-14
RED VELVET - [QUEENDOM] 6th Mini Album GIRLS Version,https://www.kpopalbums.com/collections/restocked/products/red-velvet-queendom-6th-mini-album-case-version,16.17,20.21,False,4.50,0,2,kpopalbums,False,2022-11-14
Red Velvet - [RBB] 5th Mini Album,https://www.kpopalbums.com/collections/restocked/products/red-velvet-rbb-5th-mini-album-cd-photobook-photocard-free-tracking-k-pop-sealed-really-bad-boy-red-velvet-rbb-5th-mini,10.49,13.99,False,4.78,0,9,kpopalbums,False,2022-11-14
RED VELVET - [ROOKIE] 4th Mini Album 5 Version SET,https://www.kpopalbums.com/collections/restocked/products/red-velvet-rookie-4th-mini-album-5-version-set,63.56,74.78,False,0.00,0,0,kpopalbums,False,2022-11-14
RED VELVET - [ROOKIE] 4th Mini Album IRENE Version,https://www.kpopalbums.com/collections/restocked/products/red-velvet-rookie-4th-mini-album-irene-version,13.24,15.58,False,0.00,0,0,kpopalbums,False,2022-11-14
RED VELVET - [ROOKIE] 4th Mini Album JOY Version,https://www.kpopalbums.com/collections/restocked/products/red-velvet-rookie-4th-mini-album-joy-version,13.24,15.58,False,0.00,0,0,kpopalbums,False,2022-11-14
RED VELVET - [ROOKIE] 4th Mini Album RANDOM Version,https://www.kpopalbums.com/collections/restocked/products/red-velvet-rookie-4th-mini-album-cd-photo-book-1p-photocard-k-pop-sealed-red-velvet-rookie-4th-mini,11.84,14.80,False,4.27,0,22,kpopalbums,False,2022-11-14
RED VELVET - [ROOKIE] 4th Mini Album SEULGI Version,https://www.kpopalbums.com/collections/restocked/products/red-velvet-rookie-4th-mini-album-seulgi-version,13.24,15.58,False,0.00,0,0,kpopalbums,False,2022-11-14
RED VELVET - [ROOKIE] 4th Mini Album WENDY Version,https://www.kpopalbums.com/collections/restocked/products/red-velvet-rookie-4th-mini-album-wendy-version,13.24,15.58,False,0.00,0,0,kpopalbums,False,2022-11-14
RED VELVET - [ROOKIE] 4th Mini Album YERI Version,https://www.kpopalbums.com/collections/restocked/products/red-velvet-rookie-4th-mini-album-yeri-version,13.24,15.58,False,0.00,0,0,kpopalbums,False,2022-11-14
RED VELVET - [RUSSIAN ROULETTE] 3rd Mini Album,https://www.kpopalbums.com/collections/restocked/products/red-velvet-russian-roulette-3rd-mini-album-cd-photobook-photocard-sealed-redvelvet-russianroultte-3rd,10.49,13.99,False,4.82,0,51,kpopalbums,False,2022-11-14
RED VELVET - [SUMMER MAGIC] Summer Mini Album,https://www.kpopalbums.com/collections/restocked/products/red-velvet-summer-magic-summer-mini-album,10.49,13.99,False,5.00,0,2,kpopalbums,False,2022-11-14
Red Velvet - [The Perfect Red Velvet] 2nd Album Repackage KIHNO KIT,https://www.kpopalbums.com/collections/restocked/products/red-velvet-the-perfect-red-velvet-2nd-repackage-kihno-kit-12p-photocard-sealed-red-velvet-the-perfect-red-velvet-kihno,14.90,18.63,False,5.00,0,1,kpopalbums,False,2022-11-14
Red Velvet - [The Perfect Red Velvet] 2nd Repackage Album,https://www.kpopalbums.com/collections/restocked/products/red-velvet-the-perfect-red-velvet-2nd-repackage-cd-booklet-card-k-pop-sealed-red-velvet-the-perfect-red-velvet-2nd-repackage,12.87,17.16,False,,,,kpopalbums,False,2022-11-14
Red Velvet - [The Red Summer] Summer Mini Album,https://www.kpopalbums.com/collections/restocked/products/red-velvet-the-red-summer-summer-mini-album-cd-photo-book-k-pop-sealed-red-velvet-the-red-summer-summer-mini-album,9.82,13.10,False,,,,kpopalbums,False,2022-11-14
RED VELVET - [The Red] 1st Album,https://www.kpopalbums.com/collections/restocked/products/red-velvet-the-red-1st-album-cd-photocard-booklet-tracking-k-pop-sealed-redvelvet-002,11.83,14.79,False,0.00,0,0,kpopalbums,False,2022-11-14
RED VELVET - [The ReVe Festival 2022 : Feel My Rhythm] Mimi Album ReVe 2 Version SET,https://www.kpopalbums.com/collections/restocked/products/red-velvet-the-reve-festival-2022-feel-my-rhythm-mimi-album-reve-2-version-set,31.53,39.41,False,5.00,0,3,kpopalbums,False,2022-11-14
RED VELVET - [The ReVe Festival 2022 : Feel My Rhythm] Mimi Album ReVe CALMATO Version,https://www.kpopalbums.com/collections/restocked/products/red-velvet-the-reve-festival-2022-feel-my-rhythm-mimi-album-reve-calmato-version,15.16,20.21,False,5.00,0,1,kpopalbums,False,2022-11-14
RED VELVET - [The ReVe Festival 2022 : Feel My Rhythm] Mimi Album ReVe CAPRICCIOSO Version,https://www.kpopalbums.com/collections/restocked/products/red-velvet-the-reve-festival-2022-feel-my-rhythm-mimi-album-reve-capriccioso-version,15.16,20.21,False,5.00,0,1,kpopalbums,False,2022-11-14
