item,url,price,is_autograph,avg_review_value,number_of_questions,number_of_reviews,vendor,is_sold_out,ds
빅스 | VIXX OFFICIAL LIGHT STICK VER. 2,https://www.musicplaza.com/collections/light-sticks/products/vix2,59.99,False,5.00,0,7,musicplaza,True,2022-11-15
에이비식스 | AB6IX OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/ab6ix-official-light-stick,49.99,False,5.00,0,6,musicplaza,False,2022-11-15
우주소녀 | WJSN | OFFICIAL LIGHT STICK VER. 2,https://www.musicplaza.com/collections/light-sticks/products/%EC%9A%B0%EC%A3%BC%EC%86%8C%EB%85%80-wjsn-official-light-stick-ver-2,55.99,False,4.67,0,3,musicplaza,False,2022-11-15
엑소 | EXO OFFICIAL LIGHT STICK MINI KEYRING WHITE VERSION,https://www.musicplaza.com/collections/light-sticks/products/exo1240,26.99,False,5.00,0,8,musicplaza,True,2022-11-15
원어스 | ONEUS OFFICIAL LIGHT STICK VER.2,https://www.musicplaza.com/collections/light-sticks/products/%EC%9B%90%EC%96%B4%EC%8A%A4-oneus-official-light-stick-ver-2,57.99,False,0.00,0,0,musicplaza,False,2022-11-15
엑소 | EXO OFFICIAL LIGHT STICK VER. 2,https://www.musicplaza.com/collections/light-sticks/products/smmd5961,54.99,False,4.92,0,12,musicplaza,True,2022-11-15
에이스 | A.C.E  OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/%EC%97%90%EC%9D%B4%EC%8A%A4-a-c-e-official-light-stick,49.99,False,5.00,0,5,musicplaza,True,2022-11-15
에이티즈 | ATEEZ OFFICIAL MINI LIGHT KEYRING ver.2,https://www.musicplaza.com/collections/light-sticks/products/ateez-official-light-stick-ver-2,31.99,False,0.00,0,0,musicplaza,False,2022-11-15
방탄소년단 | BTS OFFICIAL LIGHT STICK MINI KEYRING [ MAP OF THE SOUL ],https://www.musicplaza.com/collections/light-sticks/products/bts-official-light-keyring-se,27.99,False,5.00,0,5,musicplaza,True,2022-11-15
뉴이스트 W | NU'EST W OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/nuest-w-%EB%89%B4%EC%9D%B4%EC%8A%A4%ED%8A%B8-w-official-lightstick,47.99,False,5.00,0,1,musicplaza,True,2022-11-15
슈퍼엠 | SUPERM OFFICIAL LIGHT STICK MINI KEYRING,https://www.musicplaza.com/collections/light-sticks/products/superm-mini-fanlight-keyring,26.99,False,5.00,0,1,musicplaza,False,2022-11-15
에이핑크 | APINK OFFICIAL LIGHT STICK VER. 2,https://www.musicplaza.com/collections/light-sticks/products/%EC%97%90%EC%9D%B4%ED%95%91%ED%81%AC-apink-official-light-stick-ver-2,65.99,False,5.00,0,1,musicplaza,False,2022-11-15
케플러 | KEP1ER OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/%EC%BC%80%ED%94%8C%EB%9F%AC-kep1er-official-light-stick,59.99,False,0.00,0,0,musicplaza,False,2022-11-15
선미 | SUNMI OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/%EC%84%A0%EB%AF%B8-sunmi-official-light-stick,54.99,False,5.00,0,2,musicplaza,True,2022-11-15
슈퍼주니어 | SUPER JUNIOR OFFICIAL LIGHT STICK MINI KEYRING,https://www.musicplaza.com/collections/light-sticks/products/%EC%8A%88%ED%8D%BC%EC%A3%BC%EB%8B%88%EC%96%B4-%EB%AF%B8%EB%8B%88-%EC%9D%91%EC%9B%90%EB%B4%89-%ED%82%A4%EB%A7%81-super-junior-mini-fanlight-keyring,25.99,False,5.00,0,7,musicplaza,True,2022-11-15
비투비 | BTOB OFFICIAL LIGHT STICK VER. 2,https://www.musicplaza.com/collections/light-sticks/products/22742,65.99,False,5.00,0,2,musicplaza,False,2022-11-15
엔플라잉 | N.FLYING OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/n-flying-official-light-stick,54.99,False,4.75,0,4,musicplaza,True,2022-11-15
아스트로 | ASTRO OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/astlo,54.99,False,4.00,0,4,musicplaza,True,2022-11-15
방탄소년단 | BTS OFFICIAL LIGHT STICK MINI KEYRING VER. 3,https://www.musicplaza.com/collections/light-sticks/products/%EB%B0%A9%ED%83%84%EC%86%8C%EB%85%84%EB%8B%A8-bts-official-light-stick-keyring-ver-3,31.99,False,5.00,0,2,musicplaza,True,2022-11-15
소녀시대 | GIRLS' GENERATION OFFICIAL LIGHT STICK MINI KEYRING,https://www.musicplaza.com/collections/light-sticks/products/%EC%86%8C%EB%85%80%EC%8B%9C%EB%8C%80-%EB%AF%B8%EB%8B%88-%EC%9D%91%EC%9B%90%EB%B4%89-%ED%82%A4%EB%A7%81-snsd-mini-fanlight-keyring,25.99,False,5.00,0,3,musicplaza,True,2022-11-15
모모랜드 | MOMOLAND OFFICIAL LIGHT STICK BEATLIGHT,https://www.musicplaza.com/collections/light-sticks/products/%EB%AA%A8%EB%AA%A8%EB%9E%9C%EB%93%9C-momoland,55.99,False,5.00,0,2,musicplaza,False,2022-11-15
슈퍼주니어 | SUPER JUNIOR OFFICIAL LIGHT STICK MINI KEYRING VER. 2,https://www.musicplaza.com/collections/light-sticks/products/super-junior-mini-fanlight-keyring-ver-2,24.99,False,5.00,0,1,musicplaza,True,2022-11-15
세븐틴 | SEVENTEEN OFFICIAL LIGHT STICK MINI KEYRING,https://www.musicplaza.com/collections/light-sticks/products/se17ke,26.99,False,5.00,0,2,musicplaza,True,2022-11-15
비아이 | B.I OFFICIAL LIGHT STICK [ BIN BONG ],https://www.musicplaza.com/collections/light-sticks/products/%EB%B9%84%EC%95%84%EC%9D%B4-b-i-official-light-stick-bin-bong-1-photo-card,59.99,False,5.00,0,1,musicplaza,True,2022-11-15
동방신기 | TVXQ OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/tvxq-%EB%8F%99%EB%B0%A9%EC%8B%A0%EA%B8%B0-official-light-stick,49.99,False,5.00,0,1,musicplaza,True,2022-11-15
